"","state","year","stationary","moving","NA.x.x","hijacked","boarding","fired upon","detained","NA.y.x","small","big","NA","attempted","acutal","NA.x.y","early","day","evening","night","NA.y.y"
"173","Cote d'Ivoire",2004,4,0,0,0,3,0,0,1,0,4,0,1,3,0,0,0,2,2,0
"174","Cote d'Ivoire",2005,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,1,0,2,0
"175","Cote d'Ivoire",2006,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"176","Cote d'Ivoire",2008,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,1,2,0
"177","Cote d'Ivoire",2009,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0
"178","Cote d'Ivoire",2010,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,1,3,0
"179","Cote d'Ivoire",2011,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"180","Cote d'Ivoire",2012,5,0,0,1,4,0,0,0,0,4,1,0,5,0,0,1,2,2,0
"181","Cote d'Ivoire",2013,2,1,1,2,2,0,0,0,0,4,0,0,4,0,1,0,2,1,0
"182","Cote d'Ivoire",2014,1,1,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0
"183","Cuba",2003,3,1,0,2,2,0,0,0,1,1,2,0,4,0,0,0,1,1,2
"184","Democratic Republic of Sao Tome and Principe",2014,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"185","Denmark",1995,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"186","Djibouti",1994,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"187","Djibouti",1995,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"188","Djibouti",2000,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2
"189","Djibouti",2004,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"190","Djibouti",2005,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
"191","Djibouti",2009,0,2,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0
"192","Djibouti",2010,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"193","Djibouti",2011,0,3,0,0,0,0,0,3,1,2,0,3,0,0,1,1,1,0,0
"194","Djibouti",2012,0,2,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0
"195","Dominican Republic",1996,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"196","Dominican Republic",1998,1,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
"197","Dominican Republic",2000,4,0,0,0,4,0,0,0,0,2,2,0,4,0,0,0,0,0,4
"198","Dominican Republic",2002,6,1,0,0,7,0,0,0,0,6,1,0,7,0,0,0,1,6,0
"199","Dominican Republic",2004,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0
"200","Dominican Republic",2012,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"201","Dominican Republic",2013,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"202","Ecuador",1994,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,2,1,0,0
"203","Ecuador",1996,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3
"204","Ecuador",1997,3,1,4,0,6,0,0,2,0,5,3,2,6,0,0,0,0,1,7
"205","Ecuador",1998,7,0,2,0,8,0,0,1,0,7,2,1,8,0,0,0,0,0,9
"206","Ecuador",1999,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
"207","Ecuador",2000,7,5,0,0,9,1,0,2,0,8,4,3,9,0,0,0,0,0,12
"208","Ecuador",2001,4,4,0,0,6,0,0,2,0,8,0,2,6,0,0,0,4,4,0
"209","Ecuador",2002,6,5,0,0,8,0,0,3,0,9,2,3,8,0,2,0,5,4,0
"210","Ecuador",2003,0,2,0,0,0,0,0,2,0,2,0,2,0,0,1,0,1,0,0
"211","Ecuador",2004,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"212","Ecuador",2006,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"213","Ecuador",2008,2,0,0,0,2,0,0,0,1,0,1,0,2,0,0,1,0,1,0
"214","Ecuador",2009,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,1,1,0,0
"215","Ecuador",2010,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,2,0
"216","Ecuador",2011,3,3,0,0,6,0,0,0,0,6,0,0,6,0,1,0,3,2,0
"217","Ecuador",2012,1,3,0,0,3,0,0,1,0,4,0,1,3,0,0,0,3,1,0
"218","Ecuador",2013,0,3,0,0,2,0,0,1,0,3,0,1,2,0,1,0,0,2,0
"219","Egypt",1994,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"220","Egypt",1998,1,1,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,2
"221","Egypt",1999,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"222","Egypt",2000,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"223","Egypt",2001,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"224","Egypt",2006,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"225","Egypt",2007,1,1,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,1,0
"226","Egypt",2010,2,0,0,0,2,0,0,0,0,1,1,0,2,0,1,0,0,1,0
"227","Egypt",2011,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,2,1
"228","Egypt",2012,7,0,0,0,6,0,0,1,0,6,1,1,6,0,0,1,1,5,0
"229","Egypt",2013,7,0,0,0,7,0,0,0,0,7,0,0,7,0,0,1,0,6,0
"230","El Salvador",2002,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"231","El Salvador",2005,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"232","Equatorial Guinea",2000,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"233","Equatorial Guinea",2004,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"234","Equatorial Guinea",2007,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"235","Equatorial Guinea",2008,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"236","Equatorial Guinea",2012,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
"237","Eritrea",1997,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
"238","Eritrea",2000,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3
"239","Eritrea",2001,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
"240","Eritrea",2002,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
"241","Eritrea",2003,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"242","Eritrea",2004,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
"243","Eritrea",2005,0,2,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0
"244","Eritrea",2007,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"245","Eritrea",2009,0,5,0,0,0,0,0,5,0,5,0,5,0,0,1,3,0,1,0
"246","Eritrea",2010,0,12,0,1,0,0,0,11,0,12,0,11,1,0,3,6,2,1,0
"247","Eritrea",2011,0,15,0,0,1,0,0,14,0,15,0,14,1,0,7,5,0,3,0
"248","Eritrea",2012,0,2,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0
"249","France",1998,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"250","France",2008,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"251","French Guiana",2002,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"252","French Southern & Antarctic Lands",2010,0,2,0,0,0,1,0,1,0,1,1,2,0,0,1,1,0,0,0
"253","French Southern & Antarctic Lands",2013,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"254","Gabon",1995,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"255","Gabon",1998,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
"256","Gabon",1999,3,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,3
"257","Gabon",2000,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
"258","Gabon",2001,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0
"259","Gabon",2002,7,0,0,0,7,0,0,0,0,5,2,0,7,0,0,0,1,3,3
"260","Gabon",2011,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"261","Gabon",2013,0,2,0,1,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0
"262","Gabon",2014,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"263","Georgia",1997,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"264","Georgia",2002,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
